StationID,StationFront,StationBack,Sample Date (mm/dd/yyyy),month,day,year,CoreNumber123,SampleDepth.cm,WetSoilpH,DrySoilpH,SoilConductance,SoilSalinity.ppt,SoilMoisture,BulkDensity,OrganicMatter,WetVolume,DryVolume,Comments
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,1,0_to4,6.11,5.48,2364,1.2,68.56,0.14,17.79,324.29,54.9,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,1,12_to16,5.9,5.07,3073,1.6,72.04,0.3,20.18,324.29,101.2,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,1,16_to20,6.45,5.37,3199,1.7,73.13,0.25,28.68,324.29,71.5,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,1,20_to24,6.88,5.83,3646,1.9,74.75,0.21,27.32,324.29,64.1,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,1,4_to8,5.71,4.39,1962,1,57.07,0.4,9.54,324.29,137.4,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,1,8_to12,5.42,4.5,2258,1.2,63.99,0.32,15.27,324.29,109.3,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,2,0_to4,6.21,4.76,2745,1.4,67.59,0.2,16.74,324.29,52.6,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,2,12_to16,6.74,5.17,4169,2.2,69.54,0.28,23.09,324.29,69.2,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,2,16_to20,6.9,5.74,4750,2.5,80.1,0.18,41.68,324.29,81,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,2,20_to24,6.95,5.57,4683,2.5,77.26,0.21,26.98,324.29,57.6,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,2,4_to8,6.81,4,3023,1.6,69.34,0.3,12.39,324.29,104.4,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,2,8_to12,6.86,5.19,3604,1.9,69.72,0.28,27.59,324.29,80.3,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,3,0_to4,6.33,5.94,2144,1.1,67.32,0.11,21.4,324.29,44.6,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,3,12_to16,5.38,5.38,2161,1.1,69.55,0.29,16.16,324.29,106.3,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,3,16_to20,5.46,4.72,2230,1.15,70.11,0.27,23.18,324.29,101,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,3,20_to24,5.85,4.86,2792,1.4,70.02,0.27,22.75,324.29,86.1,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,3,4_to8,5.9,5.76,2251,1.2,64.02,0.22,21.6,324.29,75.2,
CRMS0002-S01,CRMS0002,S01,6/10/2008,6,10,2008,3,8_to12,5.76,5.06,1881,0.95,62.35,0.38,23.39,324.29,121.3,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,1,0_to4,6.76,6.68,9920,5.6,35.58,0.66,5.98,324.29,188,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,1,12_to16,6.9,4.88,11110,6.3,48.01,0.6,12.68,324.29,182.4,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,1,16_to20,7.75,6.48,12860,7.4,57.83,0.47,15.14,324.29,152,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,1,20_to24,8.07,5.93,11875,6.8,50.47,0.63,9.91,324.29,200.1,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,1,4_to8,6.44,5.77,11500,6.55,47.25,0.67,9.91,324.29,205.4,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,1,8_to12,6,4.8,12830,7.4,59.78,0.45,17.32,324.29,160.1,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,2,0_to4,5.31,5.4,12680,7.3,33.02,0.69,6.11,324.29,213.2,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,2,12_to16,7.82,6.21,12690,7.3,44.57,0.72,10.69,324.29,213.4,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,2,16_to20,8.16,5.81,14820,8.6,56.77,0.55,11.32,324.29,208.8,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,2,20_to24,8.24,6.01,13690,7.9,49.55,0.55,9.71,324.29,172.1,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,2,4_to8,6.21,5.37,11460,6.55,46.12,0.71,10.81,324.29,239,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,2,8_to12,6.24,5.71,13940,8.1,53.74,0.57,12.87,324.29,184.4,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,3,0_to4,7.03,6.35,12140,6.95,36.35,0.79,3.6,324.29,234.8,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,3,12_to16,7.14,5,11000,6.2,46.7,0.58,12.33,324.29,200.9,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,3,16_to20,7.62,4.91,11300,6.4,48.66,0.59,12.89,324.29,162.5,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,3,20_to24,7.42,5.79,13080,7.6,62.6,0.46,11.5,324.29,166.2,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,3,4_to8,7.1,6.12,11090,6.3,51.35,0.59,9.79,324.29,214.8,
CRMS0003-S01,CRMS0003,S01,6/12/2008,6,12,2008,3,8_to12,6.6,6,10070,5.7,47.9,0.63,10.72,324.29,200.6,
CRMS0006-S01,CRMS0006,S01,6/20/2008,6,20,2008,1,16_to20,6.4,4.1,3074,1.6,74.27,0.28,32.38,324.29,97.5,
CRMS0006-S01,CRMS0006,S01,6/20/2008,6,20,2008,1,20_to24,6.45,3.91,2937,1.5,82.91,0.18,38.18,324.29,82.5,
CRMS0006-S01,CRMS0006,S01,6/20/2008,6,20,2008,1,4_to8,6.57,5.42,1699,0.85,63.28,0.43,15.17,324.29,152.9,
CRMS0006-S01,CRMS0006,S01,6/20/2008,6,20,2008,1,8_to12,6.52,5.3,2514,1.3,64.54,0.39,16.11,324.29,122.3,
CRMS0006-S01,CRMS0006,S01,6/20/2008,6,20,2008,2,0_to4,6.69,5.27,2094,1.1,84.56,0.1,33.66,324.29,55.4,
CRMS0006-S01,CRMS0006,S01,6/20/2008,6,20,2008,2,12_to16,6.49,4.98,2168,1.1,89.06,0.09,47.51,324.29,71.5,
CRMS0006-S01,CRMS0006,S01,6/20/2008,6,20,2008,2,16_to20,6.87,5.32,1945,1,87.59,0.11,41.26,324.29,78.8,
